 Machine / Référence,Type de Fluide,Fluide Recommandé, Fluide Utilisé,Conformité
 Tractopelle CASE 580SR 4PT ,Huile moteur,SAE 15W-40,HI-POWER 15W40, Conforme
,Transmission,SAE 80W-90 GL-5,UTTO 80W/10W-30,Partielle
,Hydraulique,Type 46,HI-draulic 46, Conforme
,Engrenage,SAE 80W-90 GL-5,GEAR MB 80W, Conforme
,Carburant,Diesel EN 590,Diesel EN 590, Conforme
,Graissage,Graisse EP2,Graisse Titanium HT, Conforme
,Antigel,Antigel longue durée + eau distillée,LDR glycol, Conforme
Hidromek,Transmission,ATF HD,ATF HD 389, Conforme
,Hydraulique,ISO VG 46,Tellus S2 M 46, Conforme
,Graissage,Graisse EP2,Graisse Calcique,Partielle
Fraiseuse BOMAG BM 2000/58,Huile moteur,SAE 15W-40,SAE 15W-40, Conforme
,Transmission,SAE 80W-90 GL-5,S2 G90 (Spirax), Conforme
,Hydraulique,ISO VG 46,ISO VG 46, Conforme
,Graissage,MoS2 EP2,MoS2 EP2, Conforme
,Antigel,Antigel longue durée,WG30 + eau distillée,Partielle
Niveleuse SINOMACH 722H,Huile moteur,SAE 15W-40,HI-POWER 15W40, Conforme
,Transmission,SAE 30 ou SAE 10W,UTTO 80W/10W-30,Partielle
,Hydraulique,ISO VG 46 ou 68,HI-draulic 46, Conforme
,Engrenage,SAE 80W-90 ou 85W-140 GL-5,S2 G90 (Spirax), Conforme
,Carburant,Diesel EN 590,Diesel EN 590, Conforme
,Graissage,Graisse NLGI Grade 2,Graisse Calcique,Partielle
,Antigel,Antigel longue durée + eau,LDR glycol, Conforme
Niveleuse CAT 140GC,Huile moteur,Cat DEO ULS SAE 15W-40,HMD 40,Partielle
,Transmission,Cat TDTO SAE 30 ou SAE 10W,UTTO 80W/10W-30,Partielle
,Hydraulique,Cat HYDO Advanced 10 ou ISO VG 46/68,Tellus S2 M 46, Conforme
,Engrenage,SAE 85W-140 ou 80W-90 GL-5,S2 G90 (Spirax), Conforme
,Carburant,Diesel EN 590,Diesel EN 590, Conforme
,Graissage,Graisse NLGI Grade 2,Graisse Titanium HT, Conforme
,Antigel,Cat ELC + eau distillée,WG30 + eau distillée, Conforme
