"ID Intervention
عرّف التدخُّل","Matériel
en panne 
المعدّات او الجهاز المعطَّل",Désignation ,Localisation de la panne ,Marque,Numéro de Série / العدد الرتبي, Immatricule /لوحة التسجيل ,Matériel sous garantie,standardisation des pannes ,"Description de la panne
وصف العطب","Date de Détection
تاريخ اكتشاف العطب","Analyse du Problème
(cause)
سبب العطب",Diagnostic Recommandé (théorique),"Date prévue d'intervention
التاريخ المُتوقَّع للتدخُّل","Date Effective d’Intervention
التاريخ الفعلي للتدخُّل
",Date fin  d’Intervention ,"Correction
Réparation
التصليح","Réparation en interne
المسؤول عن التدخّل

","Réparation en externe
الصيانة الخارجية","Pièces de rechange
 قطع الغيار المستخدمة",,,,," Date Fin d’Intervention
تاريخ انتهاء التدخُّل","État  Statut
الحالة / الوضع ","Causes possibles
الاحتمالات","Causes Racines
السبب الجذري ",classification des causes racine,obs,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
","Vérification Post Intervention
التحقُّق بعد التدخُّل","Commentaires
 الملاحظات ","catégorie de panne en terme de disponibilité des pieces de rechanges
(non disponible,difficilement accessible, disponible) ","catégorie de panne en terme de cout
 ( pas cher, moyen, cher)","catégorie de panne en terme de complexité 
 ( facile, intermediaire, difficile)"
,T3,Tractopelle,,HIDROMEK,35B111682,15399ES,,P12 - cannibalisation de l'engin,"Probleme de roulement 
+Son radiateur, alternateur et démarreur ont été utilisés pour d'autres engins HIDROMEK .",1/1/2023,"Probleme de roulement 
+Son radiateur, alternateur et démarreur ont été utilisés pour d'autres engins HIDROMEK .
=> il faut acheter ces pieces et les remplacer .","Remplacer le roulement complet (on ne répare pas un roulement abîmé).
Changer le joint d’étanchéité en même temps.
Nettoyer soigneusement le logement, éliminer la vieille graisse.
Graisser le nouveau roulement à 30‑50 % de son volume (trop de graisse chauffe).
Serrer l’écrou au couple préconisé par le constructeur (ni trop fort, ni trop faible).",8/25/2025,,8/25/2025,"Le roulement, le radiateur, l'alternateur et le démarreur ont été changés.",,,,,,,,,en cours,"-Graissage insuffisant ou contaminé (eau, poussière).
-Surcharge ou chocs (sol accidenté, trottoir, lourdes charges).
-Mauvais montage (écrou mal serré après intervention).
-Joints endommagés (entrée d’eau/boue, fuite de graisse).","Manque de disponibilité des pièces sur le marché local, ayant conduit à la dépose temporaire des pièces du tractopelle pour équiper d’autres engins, provoquant un arrêt et une défaillance du système.",Panne fonctionnelle (provoquée),,Réapprovisionnement planifié et sécurisation du stock minimal critique,,#NOM?,Difficilement accessible,moyen,Difficile
,CH1,Chargeuse ,,KOMATSU,WA380II21254,10262ES,,P02 - Défaillance hydraulique,Problème de Pompe hydraulique ,5/20/2023, Pompe hydraulique endommagée,,7/29/2025,,7/29/2025,"Remplacement de la pompe hydraulique et repose de la tôle de capotage sur la section pompe hydraulique de la chargeuse, suivis d’une remise en peinture.",AMMAR TAYIB – Resp Maintenance Curative ,,pompe hydraulique,,1,,,,Terminé,"-Contamination (poussière, limailles)
-Huile basse
-Entrée d’air (joints/colliers lâches)
-Surchauffe huile (échangeur bouché, ventilateur HS)
-Surpression/chocs hydrauliques
-Lubrifiant inadapté
-Mauvais remontage précédent",impureté dans le circuit hydraulique,Panne aléatoire,,"-Vider, nettoyer le circuit (Évacuer l’huile usagée ; rincer toutes les conduites ; installer des filtres neufs).
-Remplir avec l’huile constructeur, au bon niveau.
-Nettoyer la crépine et remplacer les flexibles défectueux.
-Purger l’air du circuit.
-Nettoyer l’échangeur et vérifier le ventilateur.
-Régler la pression selon les valeurs constructeur.
-Aligner pompe et moteur, remplacer l’accouplement usé.
-Former l’opérateur pour éviter surcharges et manœuvres brusques.",,,Disponible,cher,Intermédiaire
agrement ,BD2,Bulldozer,,CATERPILLAR,04X08609,SANS C.G,,P03 - Fuite huile moteur -probleme démarreur et injecteurs,"Fuite d’huile moteur démarreur défectueux, injecteurs mécaniques defaillant ",4/1/2024,Surpression ou fuite : perte d’huile → niveau bas → mauvaise lubrification → surchauffe & usure → risque de serrage ou feu au collecteur.,"Remplacer joint fautif (kit joints carter ou SPI).
• Rénover durites, colliers, filtres à huile.
• Déboucher ou remplacer reniflard/PCV.
• Vérifier planéité surfaces d’appui, nettoyer & appliquer pâte d’étanchéité constructeur.
• Remplir avec huile grade constructeur, purger air.
• Contrôler à chaud : pas de fuite après 30 min à charge.",4/1/2024,,4/1/2024,"Les joints et le démarreur ont été remplacés, et les injecteurs réparés.",,,,,,,,,Terminé,#NOM?,Duré de vie des piéces,Panne d'usure,,"-Vidange moteur et filtres (tous 250 h / manuel constructeur)
-Graissage joints et contrôle couples de serrage (après intervention / recommandations constructeur)
-Inspection visuelle hebdomadaire (niveaux d’huile, fuites/suintements)
-Nettoyage moteur trimestriel (début fuites/suintements)
-Entretien ventilation du carter (PCV) 
-Vérification silentblocs et couples de bride (limitation vibrations, prévention défaillances)",,,Disponible,moyen,Intermédiaire
,B6,Mini chargeuse ,,CATERPILLAR,CAT0216BEPWK02329,PWK02329,,P06 - Utilisation intensive sur terrain,Fissure structurelle détectée sur le godet,6/22/2024,Fissure détectée sur le godet – soudure corrective à réaliser sur site par un soudeur avec groupe électrogène.,,6/22/2024,,6/22/2024,Godet soudé,,,,,,,,,Terminé,,"Terrain rocheux – angles d’attaque inadaptés par l’opérateur, provoquant des torsions latérales.",Mauvaise utilisation,,Nettoyage du godet quotidiennement pour détecter les fissures naissantes et prévenir la corrosion.,,,Disponible,pas cher,Intermédiaire
,B4,Mini chargeuse ,,BOBCAT,,A1Z777963,,P99 - Panne moteur,Panne moteur,11/1/2024,duré de vie des pieces internes du moteur,,8/2/2025,,8/2/2025,"
-Dépose du moteur.
-Rectification du vilebrequin et remplacement des coussinets de palier principal et de bielle.
-Réalésage et chemisage du bloc-cylindres.
-Remplacement des ensembles chemise-piston-segments et reconditionnement des bielles.
-Pose complète des joints moteur (haut et bas) : culasse, cache-culbuteurs, collecteurs, joints spi vilebrequin avant/arrière, carter d’huile, pompe à eau, joints toriques et rondelles injecteurs/canalisations.
-Remplacement des joints de queue et guides de soupapes.
-Remontage, mise en huile et essais de fonctionnement.",,,culasse,,,,,,Terminé,"-Surchauffe moteur due à un radiateur obstrué.
-Niveau de liquide de refroidissement bas ou dégradé → corrosion.
-Couple de serrage de culasse incorrect.
-Contamination de l’huile (eau + huile).
-Déformation thermique de la culasse.
-Calage injection ou détente incorrect.
-Microfissures ou défauts de fabrication.",Durée de vie dépassée,Panne d'usure,,"-Nettoyer le radiateur et vérifier le flux d’air tous les 250 h ; souffler les ailettes et remplacer le filtre.
-Utiliser le liquide de refroidissement recommandé par l’OEM ; vidange et remplacement tous les 2 ans ou 2 000 h.
-Respecter la séquence et le couple de serrage avec clé dynamométrique calibrée à chaque remontage.
-Plan de vidange et analyse d’huile tous les 250 h ; remplacer les joints défectueux.
-Laisser tourner le moteur au ralenti 2 min avant coupure ; surveiller la température quotidiennement et appliquer les bonnes pratiques opérateur.
-Calibration périodique du système d’injection selon le manuel tous les 500 h.",,,Disponible,cher,Difficile
,G4,Nivleuse,,CAT,CAT0012KCSZP00275,22303ES,Travail de 3 semaines,"P05 - Usure lames, axe ou articulation",Système de lame d’une niveleuse : jeu excessif et perte de précision de nivellement., 30/ 06/2025 ,Usure combinée mécanique (glissière et axe) et hydraulique (distributeur).,,7/30/2025,,7/30/2025,"Dépose de la glissière et remplacement du support de guide-rail usé.
Remplacement complet de l’axe de pivot et des bagues associées.
Réfection du distributeur hydraulique avec kit de joints complet.
Remontage, graissage et essais fonctionnels.
lames changés",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,,Terminé,"-Graissage insuffisant ou contamination par poussières et boue.
-Réglage des cales négligé.
-Surcharge opérationnelle.
-Couple de serrage incorrect.
-Qualité des pièces de rechange inférieure (dureté élevée).
-Fin de vie naturelle des composants non détectée.","-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Panne d'entretien,,"-Graissage toutes les 8 h et vérification de l’extrusion autour de la couronne.
-Contrôle/remplacement des joints d’étanchéité dès fissure et nettoyage cercle‑pignon.
-Mesure mensuelle du jeu vertical : 0,3‑0,5 mm (selon constructeur).
-Contrôle du jeu des engrenages et cales à chaque révision (1 000 h) ; remplacement si >0,15 mm.
-Vérification du jeu du système de lame avec contrôleur cadran, jauge d’épaisseur, fil de plomb, soudure à l’étain ou test manuel.
-Plan de contrôle périodique : glissière tous 250 h, backlash et end‑play à 1 000 h- en cas de bruit inhabituel.
-Formation conducteur : limiter profondeur sur terrain dur, régime moteur, serrer supports au couple.
-Changement des cales de réglage et inclinaison tous 2 000 h.
-Nettoyage haute pression (HP) hebdomadaire pour modèle G10",,,Disponible,cher,Intermédiaire
,G5,Nivleuse,,CAT,CAT0012KJSZP00685,28189ES,,"P05 - Usure lames, axe ou articulation",Système de lame d’une niveleuse : jeu excessif et perte de précision de nivellement.,7/5/2025,"Usure prononcée des pignons d’entraînement de la lame et détérioration des cales de réglage→ jeu excessif et perte de précision du nivellement. Remplacement nécessaire des supports de lame (pignons et/ou cales). 
Constat : 1 support présent au lieu de 3 requis.",,7/18/2025,,7/19/2025,remplacer les supports de la lame (pignons et cales).,AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,7/19/2024,Terminé,,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Panne d'entretien,,"-Graissage régulier des pignons et cales tous les 250 h ou selon manuel constructeur.
-Nettoyage haute pression (HP) de la zone lame/cales tous les 250 h ou après utilisation sur terrain difficile.
-Mesure du jeu vertical des pignons et cales tous les 250 h, maintenir 0,3‑0,5 mm selon spécifications constructeur
-Remplacement préventif des cales tous les 2 000 h ou selon manuel.
-Vérification du nombre et état des supports de lame avant apparition de jeu excessif.
-Formation opérateur : limiter profondeur et charges sur terrain dur, éviter manœuvres brusques.",,,Disponible,moyen,Intermédiaire
,G10,Nivleuse,,CAT,CAT0012KTSZP00665,27802ES,,P04 - Surchauffe moteur,Hausse de température ,7/5/2025,Probleme radiateur ,,7/24/2025,,7/25/2025,"-Lavage haute pression (HP) du radiateur moteur, du refroidisseur d’huile hydraulique et du refroidisseur d’huile de boîte powershift ; rinçage et nettoyage interne du réservoir hydraulique.
-Remplacement des pignons et cales de lame.
-Remplacement de la durite.",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,7/25/2025,Terminé,,Lavage insuffisant,Panne d'entretien,,"-Lavage HP des radiateurs et refroidisseurs (hebdomadaire ou selon usage).
-Rinçage et nettoyage du réservoir hydraulique.
-Graissage et inspection des pignons et cales (250 h).
-Contrôle et remplacement des durites avant défaillance.
-Mesure du jeu de lame et usure cales/pignons (mensuel / 1 000 h).",,,Disponible,cher,Intermédiaire
,G6,Nivleuse,,CAT,CAT0012KCSZP00770,29759ES,,P05 - Usure axe ou articulation,Système de lame d’une niveleuse : jeu excessif et perte de précision de nivellement.,7/5/2025, Détérioration des cales de réglage→ jeu excessif et perte de précision de nivellement obligeant à remplacer les supports de la lame (pignons et/ou cales).,,7/14/2025,,7/15/2025,Remplacer  les cales de réglage.,AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,7/20/2025,Terminé,,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Panne d'entretien,,"-Graissage régulier des pignons et cales de lame (tous les 250 h ou selon manuel constructeur).
-Inspection visuelle mensuelle du jeu de lame et des cales de réglage.
-Nettoyage périodique de la zone lame/cales pour éviter accumulation de boue et poussière.
-Remplacement préventif des cales usées avant apparition de jeu excessif.",,,Disponible,pas cher,Intermédiaire
,T5,Tractopelle,,HIDROMEK,35113895,17077ES,,P04 - Surchauffe moteur,Surchauffe du moteur ,6/25/2025,,"• Remplacer pompe à eau et thermostat par pièces d’origine.
• Rincer le circuit pour éliminer dépôts/boue.
• Remplir avec mélange LdR/eau déminéralisée au ratio constructeur (typiquement 50 %).
• Purger tout l’air, contrôler pression du bouchon de radiateur.",7/19/2025,,7/20/2025,"Problème radiateur : La partie centrale du radiateur (tubes + ailettes), où le liquide de refroidissement cède sa chaleur à l’air ambiant, est obstruée (tubes bouchés ou ailettes colmatées). Cela réduit fortement l’échange thermique, provoquant une élévation de la température du LDR et le déclenchement de l’alarme.",,,,,,,,7/25/2025,Terminé,Manque d’entretien → colmatage des tubes et ailettes du radiateur.,LDR non conforme,Panne aléatoire,,"-Nettoyage régulier du radiateur pour éviter colmatage des tubes et ailettes.
-Utiliser un liquide de refroidissement de qualité.
-Vidange et rinçage du LDR tous les 2 ans ou selon manuel constructeur.
-Remplacement préventif du thermostat à chaque 2 vidanges ou 100 000 km/h équivalent.
-Contrôle régulier du voyant par l’opérateur, consignation dans le registre.
-Formation opérateurs : arrêt immédiat en cas de surchauffe pour éviter dommages irréversibles.",,,Disponible,pas cher,Facile
