,Désignation ,standardisation des pannes ,"Description de la panne
وصف العطب","Analyse du Problème
(cause)
سبب العطب","Correction
Réparation
التصليح","État  Statut
الحالة / الوضع ","Causes Racines
السبب الجذري ",classification des causes racine,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
"
T3,Tractopelle,P12 - cannibalisation de l'engin,"Probleme de roulement 
+Son radiateur, alternateur et démarreur ont été utilisés pour d'autres engins HIDROMEK .","Probleme de roulement 
+Son radiateur, alternateur et démarreur ont été utilisés pour d'autres engins HIDROMEK .
=> il faut acheter ces pieces et les remplacer .","Le roulement, le radiateur, l'alternateur et le démarreur ont été changés.",en cours,"Manque de disponibilité des pièces sur le marché local, ayant conduit à la dépose temporaire des pièces du tractopelle pour équiper d’autres engins, provoquant un arrêt et une défaillance du système.",Functional failure (induced),Réapprovisionnement planifié et sécurisation du stock minimal critique
CH1,Chargeuse,P02 - Défaillance hydraulique,Problème de Pompe hydraulique , Pompe hydraulique endommagée,"Remplacement de la pompe hydraulique et repose de la tôle de capotage sur la section pompe hydraulique de la Chargeuse, suivis d’une remise en peinture.",Terminé,impureté dans le circuit hydraulique,Random failure,"-Vider, nettoyer le circuit (Évacuer l’huile usagée ; rincer toutes les conduites ; installer des filtres neufs).
-Remplir avec l’huile constructeur, au bon niveau.
-Nettoyer la crépine et remplacer les flexibles défectueux.
-Purger l’air du circuit.
-Nettoyer l’échangeur et vérifier le ventilateur.
-Régler la pression selon les valeurs constructeur.
-Aligner pompe et moteur, remplacer l’accouplement usé.
-Former l’opérateur pour éviter surcharges et manœuvres brusques."
BD2,Bulldozer,P03 - Fuite huile moteur -probleme démarreur et injecteurs,"Fuite d’huile moteur démarreur défectueux, injecteurs mécaniques defaillant ",Surpression ou fuite : perte d’huile → niveau bas → mauvaise lubrification → surchauffe & usure → risque de serrage ou feu au collecteur.,"Les joints et le démarreur ont été remplacés, et les injecteurs réparés.",Terminé,Duré de vie des piéces,Wear failure,"-Vidange moteur et filtres (tous 250 h / manuel constructeur)
-Graissage joints et contrôle couples de serrage (après intervention / recommandations constructeur)
-Inspection visuelle hebdomadaire (niveaux d’huile, fuites/suintements)
-Nettoyage moteur trimestriel (début fuites/suintements)
-Entretien ventilation du carter (PCV) 
-Vérification silentblocs et couples de bride (limitation vibrations, prévention défaillances)"
B6,Mini Chargeuse,P06 - Utilisation intensive sur terrain,Fissure structurelle détectée sur le godet,Fissure détectée sur le godet – soudure corrective à réaliser sur site par un soudeur avec groupe électrogène.,Godet soudé,Terminé,"Terrain rocheux – angles d’attaque inadaptés par l’opérateur, provoquant des torsions latérales.",Misuse failure,Nettoyage du godet quotidiennement pour détecter les fissures naissantes et prévenir la corrosion.
B4,Mini Chargeuse,P99 - Panne moteur,Panne moteur,duré de vie des pieces internes du moteur,"
-Dépose du moteur.
-Rectification du vilebrequin et remplacement des coussinets de palier principal et de bielle.
-Réalésage et chemisage du bloc-cylindres.
-Remplacement des ensembles chemise-piston-segments et reconditionnement des bielles.
-Pose complète des joints moteur (haut et bas) : culasse, cache-culbuteurs, collecteurs, joints spi vilebrequin avant/arrière, carter d’huile, pompe à eau, joints toriques et rondelles injecteurs/canalisations.
-Remplacement des joints de queue et guides de soupapes.
-Remontage, mise en huile et essais de fonctionnement.",Terminé,Durée de vie dépassée,Wear failure,"-Nettoyer le radiateur et vérifier le flux d’air tous les 250 h ; souffler les ailettes et remplacer le filtre.
-Utiliser le liquide de refroidissement recommandé par l’OEM ; vidange et remplacement tous les 2 ans ou 2 000 h.
-Respecter la séquence et le couple de serrage avec clé dynamométrique calibrée à chaque remontage.
-Plan de vidange et analyse d’huile tous les 250 h ; remplacer les joints défectueux.
-Laisser tourner le moteur au ralenti 2 min avant coupure ; surveiller la température quotidiennement et appliquer les bonnes pratiques opérateur.
-Calibration périodique du système d’injection selon le manuel tous les 500 h."
G4,Niveleuse,"P05 - Usure lames, axe ou articulation",Système de lame d’une niveleuse : jeu excessif et perte de précision de nivellement.,Usure combinée mécanique (glissière et axe) et hydraulique (distributeur).,"Dépose de la glissière et remplacement du support de guide-rail usé.
Remplacement complet de l’axe de pivot et des bagues associées.
Réfection du distributeur hydraulique avec kit de joints complet.
Remontage, graissage et essais fonctionnels.
lames changés",Terminé,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Maintenance-related failure,"-Graissage toutes les 8 h et vérification de l’extrusion autour de la couronne.
-Contrôle/remplacement des joints d’étanchéité dès fissure et nettoyage cercle‑pignon.
-Mesure mensuelle du jeu vertical : 0,3‑0,5 mm (selon constructeur).
-Contrôle du jeu des engrenages et cales à chaque révision (1 000 h) ; remplacement si >0,15 mm.
-Vérification du jeu du système de lame avec contrôleur cadran, jauge d’épaisseur, fil de plomb, soudure à l’étain ou test manuel.
-Plan de contrôle périodique : glissière tous 250 h, backlash et end‑play à 1 000 h- en cas de bruit inhabituel.
-Formation conducteur : limiter profondeur sur terrain dur, régime moteur, serrer supports au couple.
-Changement des cales de réglage et inclinaison tous 2 000 h.
-Nettoyage haute pression (HP) hebdomadaire pour modèle G10"
G5,Niveleuse,"P05 - Usure lames, axe ou articulation",Système de lame d’une niveleuse : jeu excessif et perte de précision de nivellement.,"Usure prononcée des pignons d’entraînement de la lame et détérioration des cales de réglage→ jeu excessif et perte de précision du nivellement. Remplacement nécessaire des supports de lame (pignons et/ou cales). 
Constat : 1 support présent au lieu de 3 requis.",remplacer les supports de la lame (pignons et cales).,Terminé,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Maintenance-related failure,"-Graissage régulier des pignons et cales tous les 250 h ou selon manuel constructeur.
-Nettoyage haute pression (HP) de la zone lame/cales tous les 250 h ou après utilisation sur terrain difficile.
-Mesure du jeu vertical des pignons et cales tous les 250 h, maintenir 0,3‑0,5 mm selon spécifications constructeur
-Remplacement préventif des cales tous les 2 000 h ou selon manuel.
-Vérification du nombre et état des supports de lame avant apparition de jeu excessif.
-Formation opérateur : limiter profondeur et charges sur terrain dur, éviter manœuvres brusques."
G10,Niveleuse,P04 - Surchauffe moteur,Hausse de température ,Probleme radiateur ,"-Lavage haute pression (HP) du radiateur moteur, du refroidisseur d’huile hydraulique et du refroidisseur d’huile de boîte powershift ; rinçage et nettoyage interne du réservoir hydraulique.
-Remplacement des pignons et cales de lame.
-Remplacement de la durite.",Terminé,Lavage insuffisant,Maintenance-related failure,"-Lavage HP des radiateurs et refroidisseurs (hebdomadaire ou selon usage).
-Rinçage et nettoyage du réservoir hydraulique.
-Graissage et inspection des pignons et cales (250 h).
-Contrôle et remplacement des durites avant défaillance.
-Mesure du jeu de lame et usure cales/pignons (mensuel / 1 000 h)."
G6,Niveleuse,P05 - Usure axe ou articulation,Système de lame d’une niveleuse : jeu excessif et perte de précision de nivellement., Détérioration des cales de réglage→ jeu excessif et perte de précision de nivellement obligeant à remplacer les supports de la lame (pignons et/ou cales).,Remplacer  les cales de réglage.,Terminé,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Maintenance-related failure,"-Graissage régulier des pignons et cales de lame (tous les 250 h ou selon manuel constructeur).
-Inspection visuelle mensuelle du jeu de lame et des cales de réglage.
-Nettoyage périodique de la zone lame/cales pour éviter accumulation de boue et poussière.
-Remplacement préventif des cales usées avant apparition de jeu excessif."
T5,Tractopelle,P04 - Surchauffe moteur,Surchauffe du moteur ,,"Problème radiateur : La partie centrale du radiateur (tubes + ailettes), où le liquide de refroidissement cède sa chaleur à l’air ambiant, est obstruée (tubes bouchés ou ailettes colmatées). Cela réduit fortement l’échange thermique, provoquant une élévation de la température du LDR et le déclenchement de l’alarme.",Terminé,LDR non conforme,Random failure,"-Nettoyage régulier du radiateur pour éviter colmatage des tubes et ailettes.
-Utiliser un liquide de refroidissement de qualité.
-Vidange et rinçage du LDR tous les 2 ans ou selon manuel constructeur.
-Remplacement préventif du thermostat à chaque 2 vidanges ou 100 000 km/h équivalent.
-Contrôle régulier du voyant par l’opérateur, consignation dans le registre.
-Formation opérateurs : arrêt immédiat en cas de surchauffe pour éviter dommages irréversibles."
