"ID Intervention
عرّف التدخُّل","Matériel
en panne 
المعدّات او الجهاز المعطَّل",Désignation ,Localisation de la panne ,Marque,Numéro de Série / العدد الرتبي, Immatricule /لوحة التسجيل ,Matériel sous garantie,standardisation des pannes ,"Description de la panne
وصف العطب","Date de Détection
تاريخ اكتشاف العطب","Analyse du Problème
(cause)
سبب العطب",Diagnostic Recommandé (théorique),"Date prévue d'intervention
التاريخ المُتوقَّع للتدخُّل","Date Effective d’Intervention
التاريخ الفعلي للتدخُّل
",Date fin  d’Intervention ,"Correction
Réparation
التصليح","Réparation en interne
المسؤول عن التدخّل

","Réparation en externe
الصيانة الخارجية","Pièces de rechange
 قطع الغيار المستخدمة",Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23," Date Fin d’Intervention
تاريخ انتهاء التدخُّل","État  Statut
الحالة / الوضع ","Causes possibles
الاحتمالات","Causes Racines
السبب الجذري ",classification des causes racine,classification des causes racine 2,obs,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
","Vérification Post Intervention
التحقُّق بعد التدخُّل","Commentaires
 الملاحظات ","catégorie de panne en terme de disponibilité des pieces de rechanges
(Not available,Hard to obtain, Available) ","catégorie de panne en terme de cout
 ( Low cost, Medium cost, High cost)","catégorie de panne en terme de complexité 
 ( Easy, intermediaire, Hard)"
agrement ,BD2,Bulldozer,,CATERPILLAR,04X08609,SANS C.G,,P03 - Fuite huile moteur -probleme démarreur et injecteurs,"Fuite d’huile moteur démarreur défectueux, injecteurs mécaniques defaillant ",4/1/2024,Surpression ou fuite : perte d’huile → niveau bas → mauvaise lubrification → surchauffe & usure → risque de serrage ou feu au collecteur.,"Remplacer joint fautif (kit joints carter ou SPI).
• Rénover durites, colliers, filtres à huile.
• DébouHigh cost ou remplacer reniflard/PCV.
• Vérifier planéité surfaces d’appui, nettoyer & appliquer pâte d’étanchéité constructeur.
• Remplir avec huile grade constructeur, purger air.
• Contrôler à chaud : pas de fuite après 30 min à charge.",6/10/2025,,7/10/2025,"Les joints et le démarreur ont été remplacés, et les injecteurs réparés.",,,,,,,,,Terminé,#NOM?,Duré de vie des piéces,Wear failure,,,"-Vidange moteur et filtres (tous 250 h / manuel constructeur)
-Graissage joints et contrôle couples de serrage (après intervention / recommandations constructeur)
-Inspection visuelle hebdomadaire (niveaux d’huile, fuites/suintements)
-Nettoyage moteur trimestriel (début fuites/suintements)
-Entretien ventilation du carter (PCV) 
-Vérification silentblocs et couples de bride (limitation vibrations, prévention défaillances)",,,Available,Medium cost,Intermediate
,B6,Mini Loader,,CATERPILLAR,CAT0216BEPWK02329,PWK02329,,P06 - Utilisation intensive sur terrain,Fissure structurelle détectée sur le godet,6/22/2024,Fissure détectée sur le godet – soudure corrective à réaliser sur site par un soudeur avec groupe électrogène.,,7/15/2024,,7/15/2024,Godet soudé,,,,,,,,,Terminé,,"Terrain rocheux – angles d’attaque inadaptés par l’opérateur, provoquant des torsions latérales.",Misuse failure,,,Nettoyage du godet quotidiennement pour détecter les fissures naissantes et prévenir la corrosion.,,,Available,Low cost,Intermediate
,G4,Grader,,CAT,CAT0012KCSZP00275,22303ES,Travail de 3 semaines,"P05 - Usure lames, axe ou articulation",Système de lame d’une Grader : jeu excessif et perte de précision de nivellement., 30/ 06/2025 ,Usure combinée mécanique (glissière et axe) et hydraulique (distributeur).,,7/30/2025,,7/30/2025,"Dépose de la glissière et remplacement du support de guide-rail usé.
Remplacement complet de l’axe de pivot et des bagues associées.
Réfection du distributeur hydraulique avec kit de joints complet.
Remontage, graissage et essais fonctionnels.
lames changés",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,,Terminé,"-Graissage insuffisant ou contamination par poussières et boue.
-Réglage des cales négligé.
-Surcharge opérationnelle.
-Couple de serrage incorrect.
-Qualité des pièces de rechange inférieure (dureté élevée).
-Fin de vie naturelle des composants non détectée.","-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Maintenance-related failure,,,"-Graissage toutes les 8 h et vérification de l’extrusion autour de la couronne.
-Contrôle/remplacement des joints d’étanchéité dès fissure et nettoyage cercle‑pignon.
-Mesure mensuelle du jeu vertical : 0,3‑0,5 mm (selon constructeur).
-Contrôle du jeu des engrenages et cales à chaque révision (1 000 h) ; remplacement si >0,15 mm.
-Vérification du jeu du système de lame avec contrôleur cadran, jauge d’épaisseur, fil de plomb, soudure à l’étain ou test manuel.
-Plan de contrôle périodique : glissière tous 250 h, backlash et end‑play à 1 000 h- en cas de bruit inhabituel.
-Formation conducteur : limiter profondeur sur terrain dur, régime moteur, serrer supports au couple.
-Changement des cales de réglage et inclinaison tous 2 000 h.
-Nettoyage haute pression (HP) hebdomadaire pour modèle G10",,,Available,High cost,Intermediate
,G5,Grader,,CAT,CAT0012KJSZP00685,28189ES,,"P05 - Usure lames, axe ou articulation",Système de lame d’une Grader : jeu excessif et perte de précision de nivellement.,7/5/2025,"Usure prononcée des pignons d’entraînement de la lame et détérioration des cales de réglage→ jeu excessif et perte de précision du nivellement. Remplacement nécessaire des supports de lame (pignons et/ou cales). 
Constat : 1 support présent au lieu de 3 requis.",,7/18/2025,,7/19/2025,remplacer les supports de la lame (pignons et cales).,AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,7/19/2024,Terminé,,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Maintenance-related failure,,,"-Graissage régulier des pignons et cales tous les 250 h ou selon manuel constructeur.
-Nettoyage haute pression (HP) de la zone lame/cales tous les 250 h ou après utilisation sur terrain Hard.
-Mesure du jeu vertical des pignons et cales tous les 250 h, maintenir 0,3‑0,5 mm selon spécifications constructeur
-Remplacement préventif des cales tous les 2 000 h ou selon manuel.
-Vérification du nombre et état des supports de lame avant apparition de jeu excessif.
-Formation opérateur : limiter profondeur et charges sur terrain dur, éviter manœuvres brusques.",,,Available,Medium cost,Intermediate
,G10,Grader,,CAT,CAT0012KTSZP00665,27802ES,,P04 - Surchauffe moteur,Hausse de température ,7/5/2025,Probleme radiateur ,,7/24/2025,,7/25/2025,"-Lavage haute pression (HP) du radiateur moteur, du refroidisseur d’huile hydraulique et du refroidisseur d’huile de boîte powershift ; rinçage et nettoyage interne du réservoir hydraulique.
-Remplacement des pignons et cales de lame.
-Remplacement de la durite.",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,7/25/2025,Terminé,,Lavage insuffisant,Maintenance-related failure,,,"-Lavage HP des radiateurs et refroidisseurs (hebdomadaire ou selon usage).
-Rinçage et nettoyage du réservoir hydraulique.
-Graissage et inspection des pignons et cales (250 h).
-Contrôle et remplacement des durites avant défaillance.
-Mesure du jeu de lame et usure cales/pignons (mensuel / 1 000 h).",,,Available,High cost,Intermediate
,G6,Grader,,CAT,CAT0012KCSZP00770,29759ES,,P05 - Usure axe ou articulation,Système de lame d’une Grader : jeu excessif et perte de précision de nivellement.,7/5/2025, Détérioration des cales de réglage→ jeu excessif et perte de précision de nivellement obligeant à remplacer les supports de la lame (pignons et/ou cales).,,7/14/2025,,7/15/2025,Remplacer  les cales de réglage.,AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,7/20/2025,Terminé,,"-Défaut d’entretien (mesures non respectées).
-Lubrification insuffisante.
-Nettoyage négligé.
-Conditions de terrain défavorables.",Maintenance-related failure,,,"-Graissage régulier des pignons et cales de lame (tous les 250 h ou selon manuel constructeur).
-Inspection visuelle mensuelle du jeu de lame et des cales de réglage.
-Nettoyage périodique de la zone lame/cales pour éviter accumulation de boue et poussière.
-Remplacement préventif des cales usées avant apparition de jeu excessif.",,,Available,Low cost,Intermediate
,T5,Backhoe Loader,,HIDROMEK,35113895,17077ES,,P04 - Surchauffe moteur,Surchauffe du moteur ,6/25/2025,,"• Remplacer pompe à eau et thermostat par pièces d’origine.
• Rincer le circuit pour éliminer dépôts/boue.
• Remplir avec mélange LdR/eau déminéralisée au ratio constructeur (typiquement 50 %).
• Purger tout l’air, contrôler pression du bouchon de radiateur.",7/19/2025,,7/20/2025,"Problème radiateur : La partie centrale du radiateur (tubes + ailettes), où le liquide de refroidissement cède sa chaleur à l’air ambiant, est obstruée (tubes bouchés ou ailettes colmatées). Cela réduit fortement l’échange thermique, provoquant une élévation de la température du LDR et le déclenchement de l’alarme.",,,,,,,,7/25/2025,Terminé,Manque d’entretien → colmatage des tubes et ailettes du radiateur.,LDR non conforme,Random failure,,,"-Nettoyage régulier du radiateur pour éviter colmatage des tubes et ailettes.
-Utiliser un liquide de refroidissement de qualité.
-Vidange et rinçage du LDR tous les 2 ans ou selon manuel constructeur.
-Remplacement préventif du thermostat à chaque 2 vidanges ou 100 000 km/h équivalent.
-Contrôle régulier du voyant par l’opérateur, consignation dans le registre.
-Formation opérateurs : arrêt immédiat en cas de surchauffe pour éviter dommages irréversibles.",,,Available,Low cost,Easy
,T12,Backhoe Loader,,HIDROMEK,HMK102BTK35A20654,23111ES,,P02-Défaillance hydraulique ,Fuite d’huile persistante sur la boîte de vitesses de l'avant-train,5/1/2025,"Boîte de vitesses non équipée d’un reniflard, ce qui a entraîné une surpression interne. Cette accumulation de pression a provoqué la détérioration des joints et une fuite d’huile."," Déposer la boîte avant ; l’ouvrir sur établi.
• Remplacer tous les joints SPI, joints toriques et joints papier.
• Contrôler lisse d’arbre ; polir ou baguer si rayée.
• Vérifier roulements, engrenages ; remplacer si traces de chauffe/usure.
• Contrôler et dégager le reniflard.
• Reposer au couple constructeur avec pâte d’étanchéité adaptée.
• Faire essai de pression et remplir avec huile conforme API/viscosité constructeur.",6/29/2025,,6/30/2025,Installation de deux flexibles jouant le rôle de reniflard afin d’assurer la mise à l’air et éviter toute nouvelle surpression.,,,,,,,,6/30/2025,Terminé,,Manufacturing defect,Manufacturing defect,,"chaque panne liée à une fuite d'huile est considéré défaillance hydraulique. 
Un système hydraulique fonctionne toujours avec de l’huile (ou un fluide hydraulique spécifique), parce que :

L’huile transmet la puissance : la pompe met l’huile sous pression et elle actionne les vérins ou moteurs hydrauliques.

Elle assure aussi la lubrification des composants internes (pompe, distributeurs, vérins).

Elle joue un rôle de refroidissement en évacuant une partie de la chaleur générée.

Elle protège contre la corrosion et l’usure grâce aux additifs.

👉 Donc sans huile → pas de pression → le système hydraulique ne peut pas fonctionner.","-Identifier les Backhoe Loaders avec le même type de moteur et boîte de vitesses et installer préventivement deux flexibles de mise à l’air pour éviter surpression et fuite.
-Vérifier périodiquement la présence et le bon fonctionnement du reniflard ou système de mise à l’air.
-Contrôler la pression interne de la boîte et inspecter régulièrement l’état des joints d’étanchéité.",,,Available,Low cost,Intermediate
,CO1,Compactor,zouari handay,AMMANN,,3742007,,P07 - Problème électrique général,Alternateur hors service (en arret à beni khalled),7/4/2025,"Alternateur hors service et batterie défaillante sur Compactor, malgré leur remplacement, dus à une  masse électrique, forte accumulation de poussière, ou défaut de câblage.","• Remplacer ou réparer l’alternateur (kit balais + régulateur ou échange standard).
• Poser courroie neuve et régler tension au couple constructeur.
• Recharger la batterie au banc puis contrôler son état (test CCA).
• Nettoyer/sertir cosses et masses, appliquer graisse conductive.
• Vérifier consommation globale (projecteurs, accessoires) et dimensionner alternateur si besoin.r.",7/15/2025,,7/15/2025,"-Vérification approfondie et nettoyage des masses électriques et des connexions.
-Contrôle de l’intégrité des câbles et de la continuité électrique (masse, câblage alternateur-batterie).
-Nettoyage complet du compartiment moteur pour éliminer poussières et contaminants.
-Contrôle des organes de charge (régulateur, fusibles).",,,,,,,,,Terminé," -Masse électrique défectueuse ou mal connectée, provoquant une mauvaise continuité électrique.
-Câblage endommagé, oxydé ou mal fixé (faux contact).
-Accumulation importante de poussière et saletés dans le compartiment moteur, isolant les connexions.
-Régulateur de tension défectueux ou circuit de charge endommagé.
-Courroie d’alternateur mal tendue ou usée, empêchant une bonne charge.
-Surcharge électrique non maîtrisée (ajout d’équipements non compatibles).
-Problème interne au moteur électrique de l’alternateur non détecté (bobinage, balais).",Duré de vie des piéces,Wear failure,,,"-Inspection régulière des masses et connexions électriques.
-Nettoyage périodique du compartiment moteur.
-Surveillance de la tension de courroie et de l’état des câbles.
-Éviter surcharge électrique et protéger contre l’humidité/poussière.",,,Available,Low cost,Easy
,BD1,Bulldozer,,CATERPILLAR,CAT00D6RES6T00872,S6T00872,,P07 - Problème électrique général,Fausse alerte d'un temoin indiquant un probleme d'alternateur ,6/1/2025,"fausse alerte : Le témoin de batterie reste allumé sur le tableau de bord, signalant un problème de charge du système électrique mais l’alternateur est en bon état  et  fournit la tension nécessaire à la batteri et  le circuit de charge n'est pas  interrompu.",,6/1/2025,,6/1/2025,Réparer faisceau electrique lié au témoin de batterie ,,,,,,,,,Terminé,"Défaillance du témoin lumineux lui-même (ampoule ou circuit de signalisation du combiné d’instrument).
Faux contact ou oxydation au niveau des connecteurs de l’alternateur ou du câblage du témoin.
Usure ou mauvais fonctionnement du régulateur de tension intégré à l’alternateur.
Problème de masse (masse flottante) entre l’alternateur, la batterie ou le châssis.
Tension de sortie stable mais insuffisante sous charge, causée par une faiblesse de l’alternateur non détectée à vide.
Câble de retour (B+) endommagé ou en court-circuit partiel.
Capteur intelligent de batterie (BSM ou IBS) défectueux (selon les modèles modernes).","Inspection visuelle périodique lors de l'entretien preventif  du compartiment  moteur du câblage électrique (reHigh costche de fissures, oxydation, dénudement).",Random failure,,,"lors de l'entretien preventif, contrôle régulier de la tension de charge moteur tournant à l’aide d’un multimètre (attendue : 13,5 à 14,5 V).
Nettoyage et serrage des bornes de batterie et des connecteurs d’alternateur.
Inspection visuelle périodique du câblage électrique (reHigh costche de fissures, oxydation, dénudement).
Vérification du bon état du régulateur de tension, surtout sur les systèmes intégrés à l’alternateur.
Utilisation d’un outil de diagnostic OBD pour lire les éventuels codes d’erreur liés à la charge.
Contrôle de la courroie d’alternateur (tension, usure, patinage).",,,Available,Medium cost,Intermediate
