 N° Matériels,Désignation ,Marque,Type,"N° de serie 
du type","Carte grise /
 Plaque signalétique ",Propriétaire,GPS,"INDEX 
 (groupe whatsapp Gazoil)","Index Tableau Vidange
(31/07)",Etat NEBIL,OBS
P1,Excavator,KOMATSU,PC340NLC-6K,,K32256,MEDIBAT,No info,No Info,p,,confirmé avec yassine p
P5,Excavator,KOMATSU,PC500LC-10R,100482,KMTPC284PNC100482,ATL,No info,No Info,oui,,à verifier 
P6,Excavator,KOMATSU,PC500LC-10R,DZAY0013,KMTPC284ENSAY0013,CIL,No info,No Info,Oui,,à verifier 
CH1,Loader,KOMATSU,WA3803H,WA380II21254,10262ES,MEDIBAT,No info,No Info,No Info,,à verifier 
CH3,Loader,NEW HOLLAND ,W190B,W190BN7F202777,18839ES,MEDIBAT,Oui,Pas d'afficheur,P,,à verifier 
CH5,Loader,CAT,950GC,CAT950PM5K05662,35844ES,ATL,Oui,No Info,Oui,,à verifier 
CH7,Loader,KOMATSU,WA470-5,KMTWA043CJA082801,33999ES,Tunisie Leasing,Oui,No Info,Oui,,à verifier 
CH9,Loader,LON KING,CDM856,LSH0856NVJAA10390,37712ES,ZITOUNA,Oui,Pas d'afficheur,Oui,,à verifier 
CH10,Loader,VOLVO,L110F,VCEL110FH00005746,31076ES,MEDIBAT,Oui,No Info,Oui,,à verifier 
CH13,Loader,LON KING,CDM856,LSH0856NPHAB08922,31939ES,EL WIFEK,Oui,No Info,Oui,,à verifier 
B4,Mini Loader,BOBCAT,S130,,A1Z777963,MEDIBAT,No info,No Info,No Info,,à verifier 
B5,Mini Loader,CATERPILLAR,216B3,CAT0216BTPWK01961,PWK01961,MEDIBAT,Oui,No Info,Oui,,à verifier 
B9,Mini Loader,CATERPILLAR,216B3,CAT0216BCPWK05367,PWK05367,ATL,Oui,No Info,Oui,,à verifier 
B11,Mini Loader,KOMATSU,SK 714-5,KMTSK004TNUF06058,F06058,ZITOUNA,No info,No Info,No Info,,à verifier 
B12,Mini Loader,KOMATSU,SK 714-5,KMTSK004CNUF06057,F06057,ZITOUNA,No info,"p
(????)",No Info,,à verifier 
B14,Mini Loader,KOMATSU,SK 714-5,KMTS004ENUF06077,F06077,ATL,Oui,Oui,No Info,,à verifier 
B15,Mini Loader,KOMATSU,SK 714-5,KMTS004ERUF06080,F06080,ATL,Oui,No Info,No Info,,à verifier 
B16,Mini Loader,KOMATSU,SK 714-5,KMTS004ERUF06082,F06082,ATL,No info,Pas d'afficheur,No Info,,
B17,Mini Loader,KOMATSU,SK 714-5,,F06088,,No info,No Info,No Info,,à verifier 
MP1,Mini Excavator,CATERPILLAR ,304D,,CAT0304DVTYK00469,MEDIBAT,No info,No Info,No Info,,à verifier 
MP2,,,,,,,,,No Info,,
MP3,,,,,,,,,No Info,,
G4,Grader,CAT,12K,CAT0012KCSZP00275,22303ES,MEDIBAT,Oui,No Info,Oui,,à verifier 
G6,Grader,CAT,12K,CAT0012KCSZP00770,29759ES,MEDIBAT,Oui,"p
(????)",P,P,
G7,Grader,CAT,12K,CAT0012KESZP00369,24260ES,MEDIBAT,Oui,Oui,P,P,à verifier 
T3,Backhoe Loader,HIDROMEK,HMK102B,35B111682,15399ES,MEDIBAT,No info,No Info,No Info,,à verifier 
T5,Backhoe Loader,HIDROMEK,HMK102B,35113895,17077ES,MEDIBAT,Oui,No info,P,P,
T6,Backhoe Loader,HIDROMEK,102B,HMK2B010T35115503,18777ES,MEDIBAT,Oui,"p
(????)",P,,à verifier 
T7,Backhoe Loader,HIDROMEK,HMK102B,35115331,17245ES,MEDIBAT,No info,Oui,P,P,à verifier 
