TABLEAU DE VIDANGE,,,IMMEUBLE YASSMINE TAWER BLOC B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARC MEDIBAT,,,N IDENTIF 0042847EAM000,,,,,,,,,,,,,,tablo de vidange PARC MEDIBAT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINS,,date,index,prochain,vidange M,DATE DERNIERE CONSULTATION,NBRE D HEURE,vidange HY,vidange BOI,F  H,F H 2,F GA,F GK,F GS,filtre a air,F S EAU,F B,F HY,F D,huile BOITE,huile HY,H 140,H ATF,H 90,HMD 40,CX 50,eau RADIAT,graisse,huile +filtre S,huile  T 316,vidange pont
,,,,VIDANGE,  MOTEUR,,,HYDROLIQU,BOITE,HUILE,HUILE,GASOIL,GASOIL,GASOIL,IN           EX,GASOIL,BOITE,HIDROLI,DECLO,BOITE,HYDROLIQU,140,,80w90,40 HMD,CX 50,RADIATEUR,ANTI + N,COMPRESSEUR,THERMIQUE,
TRACTOPELLE, N° Matériels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTOPELLE,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTOPELLE,T5,1/27/2025,       P,       P,26 Lh 40R4,,,,,,,,,,OK      OK,,,,,,40 L h46 N,,5 L,,,,,,,,
TRACTOPELLE,T6,8/31/2024,,,12 Lh 40R4,,,,,OK,,,,,OK      OK,,,,,,35 L h46 N,,,,15 L,,20L 4S,,,,
TRACTOPELLE,T7,12/24/2024,       P,       P,22 Lh 40R4,,,,,OK,,OK,OK,OK,OK      OK,,,,,,60L h46 N,,,,26 L,,,,,,
TRACTOPELLE,T8,9/17/2024,,,24L h 40 R4,,,,,OK    ,,,,,,,,,,,90L h46 N,,5 L,20 L,,,,,,,
TRACTOPELLE,T10,12/27/2024,18276,18526,27L h 40 R4,,,,,,,,,,OK        OK,,,,,,100L h46 N,,66 L,5L,24 L,,,5 KG N,,,
TRACTOPELLE,T11,10/26/2024,       P,       P,24 Lh 40R4,,,30/01/25 120 L h 46 N,30/01/25 -30L h ATF fuite de huile,,,,,,OK        OK,,OK,,,,220 L h 46 N,,16 L,,7 L,,,5 KG N,,,
TRACTOPELLE,T12,11/8/2024,,,,,,,,,,,,,OK        OK,,,,,,160 L h 46 N,,6L,,20 L,,,,,,
